Champion,Skill,Skill Name,Primary Damage Stat,Base,ATK or DEF Buff,Book,Mastery,Total,Damage Bonus from Books,DamageGrade,Target
Jintoro,A3,Oni's Rage (5 Hit),ATK,48185,1.5,1.25,1.00,90347,25,Godlike,Single Target
Errol,A2,Helmbreaker,ATK,40504,1.5,1.45,1.00,88096,45,Godlike,Single Target
Inquisitor Shamael,A2,Cow the Horrors,ATK,41894,1.5,1.35,1.00,84835,35,Godlike,Single Target
Royal Huntsman,A3,Dead Aim,ATK,42046,1.5,1.25,1.00,78836,25,Godlike,Single Target
Mortu-Macaab,A4,Peril,ATK,50458,1.5,1,1.00,75687,0,Godlike,Single Target
Little Miss Annie,A3,Playdate,ATK,39922,1.5,1.25,1.00,74854,25,Godlike,Single Target
Teumesia,A3,Burning Regret,ATK,37305,1.5,1.2,1.00,67149,20,Godlike,Single Target
Fenshi,A3,Killer's Bile,ATK,33879,1.5,1.3,1.00,66064,30,Godlike,Single Target
Yakarl the Scourge,A2,Blizzard Rider,ATK,35244,1.5,1.1,1.00,58153,10,Godlike,Single Target
Elder Skarg,A2,Hunt the Marked,ATK,29675,1.5,1.3,1.00,57866,30,Godlike,Single Target
Roric Wyrmbane,A3,Scale Breaker,ATK,30992,1.5,1.2,1.00,55786,20,Godlike,Single Target
Whisper,A2,Charged Assault,ATK,29360,1.5,1.25,1.00,55050,25,Godlike,Single Target
Basileus Roanas,A2,Triple Puncture,ATK,29268,1.5,1.25,1.00,54878,25,Godlike,Single Target
Alika,A2,High Value Target,ATK,29829,1.5,1.2,1.00,53692,20,Godlike,Single Target
Juliana,A2,Lethal Partner,ATK,29231,1.5,1.2,1.00,52616,20,Godlike,Single Target
Gory,A3,Frost Breaker,ATK,28642,1.5,1.2,1.00,51556,20,Godlike,Single Target
Soulbond Bowyer,A2,Infused Arrow,ATK,26784,1.5,1.25,1.00,50220,25,Godlike,Single Target
Dirandil,A3,Royal Assassin,ATK,27859,1.5,1.2,1.00,50146,20,Godlike,Single Target
Ruel the Huntmaster,A2,Unleash the Hunt,ATK,24408,1.5,1.3,1.00,47596,30,Godlike,AoE Enemy
Torturehelm,A2,Bloodlust,ATK,27537,1.5,1.15,1.00,47501,15,Godlike,Single Target
Bloodgorged,A3,Decapitate,ATK,28724,1.5,1.1,1.00,47395,10,Strong,Single Target
Richtoff the Bold,A3,Cursehold,ATK,26704,1.5,1.1,1.00,44062,10,Godlike,Single Target
Faceless,A3,Ice Bolt,ATK,22531,1.5,1.3,1.00,43935,30,Strong,Single Target
Gala Longbraids,A2,Fearless Aggression,ATK,23395,1.5,1.25,1.00,43866,25,Godlike,Single Target
Bonekeeper,A3,Killing Haze,ATK,24312,1.5,1.2,1.00,43762,20,Godlike,Single Target
Mountain King,A2,Enchanted Axe,HP,34810,1,1.25,1.00,43513,25,Godlike,Single Target
Cataphract,A3,Helmcleaver,ATK,23067,1.5,1.25,1.00,43251,25,Strong,Single Target
Turvold,A3,Juggernaut,ATK,21995,1.5,1.3,1.00,42890,30,Godlike,Single Target
Ogryn Jailer,A2,Confiscate,ATK,23316,1.5,1.2,1.00,41969,20,Godlike,Single Target
Crypt Witch,A3,Not So Fast,ATK,22245,1.5,1.25,1.00,41709,25,Godlike,Single Target
Alure,A3,Hellish Blaze,ATK,24946,1.5,1.1,1.00,41161,10,Godlike,Single Target
Knight-Errant,A3,Death Warrant,ATK,24106,1.5,1.1,1.00,39775,10,Godlike,Single Target
Kalvalax,A2,Corruption Locus,ATK,20147,1.5,1.3,1.00,39287,30,Godlike,Single Target
Phranox,A2,Tender Mercies,ATK,19585,1.5,1.3,1.00,38191,30,Godlike,Single Target
Sir Artimage,A3,Unshakable Valor,ATK,21017,1.5,1.2,1.00,37831,20,Godlike,Single Target
Candraphon,A1,Punish Hubris,ATK,19374,1.5,1.3,1.00,37779,30,Godlike,Single Target
Hephraak,A2,Hephraak's Scorn,ATK,20956,1.5,1.2,1.00,37721,20,Godlike,AoE Enemy
Masked Fearmonger,A3,Well-Used Axe,ATK,21823,1.5,1.15,1.00,37645,15,Godlike,Single Target
Varl the Destroyer,A3,Calamity Torrent,ATK,19908,1.5,1.25,1.00,37328,25,Godlike,Single Target
Thea the Tomb Angel,A2,Hexreaper,ATK,24693,1.5,1,1.00,37040,0,Godlike,AoE Enemy
Gurgoh the Augur,A3,Avalanche,ATK,20212,1.5,1.2,1.00,36382,20,Godlike,Single Target
Brakus the Shifter,A3,Hunter's Howl,ATK,21694,1.5,1.1,1.00,35795,10,Godlike,Single Target
Tolf the Maimed,A2,Cut Wide Open,HP,27466,1,1.3,1.00,35706,30,Godlike,Single Target
Baron,A4,Skypiercer,ATK,23756,1.5,1,1.00,35634,0,Godlike,AoE Enemy
Rotos the Lost Groom,A3,Fated Destruction,ATK,16826,1.5,1.4,1.00,35335,40,Strong,Single Target
Hound Spawn,A3,Shattering Strike,ATK,17708,1.5,1.3,1.00,34531,30,Godlike,AoE Enemy
Brakus the Shifter,A2,Full Moon Rampage,ATK,18298,1.5,1.25,1.00,34309,25,Godlike,Single Target
Karam,A2,Fit of Rage,ATK,18798,1.5,1.2,1.00,33836,20,Godlike,Single Target
Ma'Shalled,A3,Open Wounds,ATK,22083,1.5,1,1.00,33125,0,Godlike,Single Target
